City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,louis trichardt,-23.0439,29.9032,13.63,79,100,6.13,ZA,1701323521
213,kholmsk,47.0511,142.0569,-5.56,79,100,3.4,RU,1701323522
214,udachny,66.4167,112.4,-11.97,84,100,10.49,RU,1701323522
215,mossel bay,-34.1831,22.146,21.96,54,54,3.54,ZA,1701323522
216,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,65,75,3.58,RU,1701323522
217,pahlgam,34.0333,75.3333,4.41,82,100,2.61,IN,1701323523
218,bolobo,-2.1667,16.2333,22.89,86,84,0.47,CD,1701323523
219,pecanha,-18.5486,-42.5569,18.76,90,97,1.05,BR,1701323523
220,yelizovo,53.1873,158.3805,-3.92,62,75,3.13,RU,1701323523
221,barpathar,26.3,93.8667,25.25,60,1,1.96,IN,1701323524
222,cabo san lucas,22.8909,-109.9124,24.31,82,29,0.89,MX,1701323337
223,damara,4.9608,18.7035,23.12,84,100,1.07,CF,1701323524
224,kargasok,59.0556,80.8572,-8.91,93,98,4.47,RU,1701323525
225,islamkot,24.6997,70.177,25.77,39,3,4.58,PK,1701323525
226,mana,5.6592,-53.7767,25.08,87,5,3.67,GF,1701323525
227,qaqortoq,60.7167,-46.0333,-0.41,62,100,7.55,GL,1701323525
228,belyy yar,53.6039,91.3903,-11.06,85,100,0.0,RU,1701323526
229,saudarkrokur,65.7461,-19.6394,0.52,85,89,1.68,IS,1701323526
230,camana,-16.6228,-72.7111,19.27,82,87,2.5,PE,1701323526
231,nova vicosa,-17.8919,-39.3719,24.19,87,95,4.4,BR,1701323527
232,remire-montjoly,4.9167,-52.2667,24.02,100,40,0.51,GF,1701323527
233,makushino,55.2103,67.2442,-0.78,92,100,1.56,RU,1701323527
234,alofi,-19.0595,-169.9187,26.94,78,73,4.63,NU,1701323528
235,lompoc,34.6391,-120.4579,14.32,89,100,0.89,US,1701323528
236,malvan,16.0667,73.4667,29.39,61,65,1.85,IN,1701323528
237,fortuna,40.5982,-124.1573,7.19,95,0,0.0,US,1701323528
238,antofagasta,-23.65,-70.4,17.6,84,52,1.65,CL,1701323379
239,port saint john's,-31.6229,29.5448,20.16,53,28,1.48,ZA,1701323529
240,mount isa,-20.7333,139.5,32.87,33,72,1.54,AU,1701323529
241,kivioli,59.3531,26.9711,-2.53,94,100,5.9,EE,1701323529
242,cotonou,6.3654,2.4183,26.99,89,40,1.54,BJ,1701323530
243,pauini,-7.7136,-66.9764,22.58,99,100,0.93,BR,1701323530
244,chukhloma,58.7525,42.6825,-9.39,96,100,3.13,RU,1701323530
245,tarancon,40.0085,-3.0073,12.07,87,100,7.79,ES,1701323531
246,new norfolk,-42.7826,147.0587,15.72,65,100,3.43,AU,1701323531
247,milan,45.4643,9.1895,4.7,90,75,1.54,IT,1701323234
248,kete krachi,7.7939,-0.0498,26.51,80,18,2.87,GH,1701323531
249,missao velha,-7.2497,-39.1431,27.27,69,20,0.0,BR,1701323532
250,zaozersk,69.4005,32.4476,-1.23,98,100,6.43,RU,1701323532
251,oroqen zizhiqi,50.5667,123.7167,-7.25,59,100,4.24,CN,1701323532
252,chiquimulilla,14.0858,-90.3767,22.81,77,83,2.2,GT,1701323532
253,shanyang,26.6702,119.2051,12.14,89,100,1.07,CN,1701323533
254,ivnya,51.0629,36.1343,-2.49,91,100,6.14,RU,1701323533
255,ust-nera,64.5667,143.2,-24.51,99,99,3.03,RU,1701323533
256,srisailain,16.0833,78.8667,27.66,63,85,4.25,IN,1701323534
257,dudinka,69.4058,86.1778,-16.88,100,100,1.04,RU,1701323534
258,gunnedah,-30.9833,150.25,27.76,29,23,7.62,AU,1701323534
259,daru,-9.0763,143.2092,29.57,68,44,4.18,PG,1701323534
260,santo antonio do ica,-3.1022,-67.9397,22.89,99,100,1.11,BR,1701323535
261,olinda,-8.0089,-34.8553,26.85,74,75,4.63,BR,1701323535
262,kiunga,-6.1219,141.2906,30.01,76,98,1.0,PG,1701323535
263,malabar,-33.9667,151.25,27.87,36,0,8.23,AU,1701323535
264,puerto baquerizo moreno,-0.9,-89.6,24.02,78,47,2.76,EC,1701323536
265,coahuayana de hidalgo,18.7,-103.6583,23.69,92,52,2.07,MX,1701323536
266,cedeira,43.6797,-8.0209,9.04,67,100,7.72,ES,1701323536
267,arraias,-12.9288,-46.9437,25.05,40,78,1.46,BR,1701323537
268,cidade velha,14.9167,-23.6167,22.26,83,0,2.06,CV,1701323537
269,vicuna,-30.0319,-70.7081,10.85,55,0,0.24,CL,1701323537
270,kem',64.9555,34.5793,-10.99,96,98,2.24,RU,1701323538
271,wenchang,30.904,118.4887,8.69,28,96,3.7,CN,1701323539
272,caleta de carquin,-11.0925,-77.6267,18.96,86,53,2.9,PE,1701323539
